Images;$1 / $5;$10;$50;$100;$100 (Antigua);$500;?? (Not Coin);Total
11.png;1;2;1;2;1;3;3;13
12.png;1;3;2;3;1;0;3;13
13.png;2;2;2;2;0;2;3;13
14.png;1;4;1;2;0;2;2;12
15.png;0;1;1;5;0;1;4;12
16.png;2;3;2;2;0;1;2;12
17.png;3;2;1;0;1;2;3;12
18.png;2;2;1;1;0;1;5;12
bk1.png;1;3;0;1;0;1;6;12
bk2.png;0;4;0;2;0;1;5;12
bk3.png;0;2;0;0;0;1;1;4
bk4.png;0;0;0;0;0;0;21;21
bk5.png;0;1;0;0;0;0;3;4
bk6.png;0;10;0;0;0;0;3;13
blur1.png;0;1;0;0;0;1;3;5
blur2.png;0;1;0;0;0;0;4;5
blur3.png;1;1;1;2;0;0;1;6
blur4.png;0;1;0;2;0;1;2;6
blur5.png;0;0;1;1;0;0;3;5
blur6.png;0;1;1;1;1;0;7;11
blur7.png;0;0;0;0;0;0;0;0
blur8.png;0;2;1;0;0;0;9;12
mc1.png;1;2;1;3;0;2;9;18
mc2.png;1;1;4;4;3;4;4;21
mc3.png;0;2;4;2;1;5;6;20
mc4.png;0;4;2;4;2;4;5;21
mc5.png;0;4;1;4;2;4;7;22
mc6.png;3;0;3;1;2;3;9;21
mc7.png;2;1;2;3;1;4;5;18
mc8.png;0;1;3;2;1;5;6;18
mc9.png;2;1;1;3;3;5;4;19
mc10.png;1;2;2;2;3;2;5;17
mc11.png;1;2;1;2;3;3;5;17
mc12.png;0;2;2;3;2;3;6;18
pk1.png;0;0;0;1;4;0;0;5
pk2.png;0;0;0;0;1;1;1;3
pk3.png;1;1;0;1;0;5;5;13
pk4.png;1;2;1;2;0;4;4;14
pk5.png;0;1;0;3;1;3;5;13
pk6.png;0;1;2;2;0;3;5;13
pk7.png;0;2;1;2;0;4;3;12
pk8.png;2;1;2;1;0;3;4;13
pk9.png;0;3;2;2;0;1;4;12
pk10.png;1;3;1;2;0;3;2;12
pk11.png;1;2;2;1;0;2;5;13
w1.png;0;3;4;2;0;6;5;20
w2.png;0;3;2;1;0;4;2;12
w3.png;2;3;0;1;0;0;6;12
w4.png;0;1;1;1;0;2;7;12
w5.png;0;1;1;1;0;2;7;12
w6.png;1;1;0;0;0;2;8;12
