,Images,$1 / $5,$10,$50,$100,$100 (Antigua),$500,?? (Not Coin),Total
0,11.png,1/1,2/4,1/3,2/4,1/0,3/1,3/0,13/13
1,12.png,1/1,3/4,2/3,3/4,1/0,0/1,3/0,13/13
2,13.png,2/1,2/4,2/3,2/4,0/0,2/1,3/0,13/13
3,14.png,1/1,4/4,1/3,2/4,0/0,2/1,2/0,12/13
4,15.png,0/1,1/4,1/3,5/4,0/0,1/1,4/0,12/13
5,16.png,2/1,3/4,2/3,2/4,0/0,1/1,2/0,12/13
6,17.png,3/1,2/4,1/3,0/4,1/0,2/1,3/0,12/13
7,18.png,2/1,2/4,1/3,1/4,0/0,1/1,5/0,12/13
8,bk1.png,1/0,3/4,0/3,1/4,0/0,1/1,6/0,12/12
9,bk2.png,0/0,4/4,0/3,2/4,0/0,1/1,5/0,12/12
10,bk3.png,0/0,2/1,0/1,0/1,0/0,1/1,1/0,4/4
11,bk4.png,0/0,0/1,0/1,0/1,0/0,0/1,21/0,21/4
12,bk5.png,0/0,1/1,0/1,0/1,0/0,0/1,3/0,4/4
13,bk6.png,0/0,10/1,0/1,0/1,0/0,0/1,3/0,13/4
14,blur1.png,0/0,1/3,0/0,0/1,0/0,1/1,3/0,5/5
15,blur2.png,0/0,1/3,0/0,0/1,0/0,0/1,4/0,5/5
16,blur3.png,1/0,1/3,1/3,2/4,0/0,0/1,1/0,6/11
17,blur4.png,0/0,1/3,0/3,2/4,0/0,1/1,2/0,6/11
18,blur5.png,0/0,0/3,1/3,1/4,0/0,0/1,3/0,5/11
19,blur6.png,0/0,1/3,1/3,1/4,1/0,0/1,7/0,11/11
20,blur7.png,0/0,0/3,0/3,0/4,0/0,0/1,0/0,0/11
21,blur8.png,0/0,2/4,1/3,0/4,0/0,0/1,9/0,12/12
22,mc1.png,1/1,2/5,1/3,3/4,0/0,2/8,9/1,18/22
23,mc2.png,1/1,1/5,4/3,4/4,3/0,4/9,4/1,21/23
24,mc3.png,0/1,2/5,4/3,2/4,1/0,5/9,6/1,20/23
25,mc4.png,0/1,4/5,2/3,4/4,2/0,4/9,5/1,21/23
26,mc5.png,0/1,4/4,1/3,4/4,2/0,4/9,7/0,22/21
27,mc6.png,3/1,0/4,3/3,1/4,2/0,3/9,9/1,21/22
28,mc7.png,2/1,1/4,2/3,3/4,1/0,4/9,5/1,18/22
29,mc8.png,0/1,1/4,3/3,2/4,1/0,5/9,6/1,18/22
30,mc9.png,2/1,1/4,1/3,3/4,3/0,5/9,4/1,19/22
31,mc10.png,1/2,2/4,2/3,2/4,3/0,2/9,5/1,17/23
32,mc11.png,1/2,2/4,1/3,2/4,3/0,3/9,5/1,17/23
33,mc12.png,0/2,2/4,2/3,3/4,2/0,3/9,6/1,18/23
34,pk1.png,0/1,0/4,0/3,1/3,4/0,0/1,0/1,5/13
35,pk2.png,0/1,0/4,0/3,0/3,1/0,1/1,1/1,3/13
36,pk3.png,1/1,1/4,0/3,1/3,0/0,5/1,5/1,13/13
37,pk4.png,1/1,2/4,1/3,2/3,0/0,4/1,4/1,14/13
38,pk5.png,0/1,1/4,0/3,3/3,1/0,3/1,5/1,13/13
39,pk6.png,0/1,1/4,2/3,2/3,0/0,3/1,5/1,13/13
40,pk7.png,0/1,2/4,1/3,2/3,0/0,4/1,3/1,12/13
41,pk8.png,2/1,1/4,2/3,1/3,0/0,3/1,4/1,13/13
42,pk9.png,0/1,3/4,2/3,2/3,0/0,1/1,4/1,12/13
43,pk10.png,1/1,3/4,1/3,2/3,0/0,3/1,2/1,12/13
44,pk11.png,1/1,2/4,2/3,1/3,0/0,2/1,5/1,13/13
45,w1.png,0/1,3/3,4/3,2/3,0/0,6/9,5/1,20/20
46,w2.png,0/0,3/3,2/3,1/4,0/0,4/1,2/0,12/11
47,w3.png,2/0,3/3,0/3,1/4,0/0,0/1,6/0,12/11
48,w4.png,0/0,1/3,1/3,1/4,0/0,2/1,7/0,12/11
49,w5.png,0/0,1/3,1/3,1/4,0/0,2/1,7/0,12/11
50,w6.png,1/0,1/3,0/3,0/4,0/0,2/1,8/0,12/11
